Customer ID,Australia,Belgium,Channel Islands,Denmark,EIRE,France,Germany,Japan,Netherlands,Nigeria,Poland,Portugal,Spain,USA,United Kingdom
12362.0,,130.0,,,,,,,,,,,,,
12435.0,,,,2.1,,,,,,,,,,,
12437.0,,,,,,91.07,,,,,,,,,
12471.0,,,,,,,4.6,,,,,,,,
12484.0,,,,,,,,,,,,,3.35,,
12490.0,,,,,,60.66,,,,,,,,,
12523.0,,,,,,28.95,,,,,,,,,
12533.0,,,,,,,139.03,,,,,,,,
12577.0,,,,,,45.9,,,,,,,,,
12615.0,,,,,,5.95,,,,,,,,,
12636.0,,,,,,,,,,,,,,141.0,
12682.0,,,,,,67.64,,,,,,,,,
12705.0,,,,,,,12.850000000000001,,,,,,,,
12755.0,,,,,,,,6.140000000000001,,,,,,,
12758.0,,,,,,,,,,,,208.75,,,
12779.0,,,,,,,,,,,40.18,,,,
12835.0,,,,,,,,,,,,,,,110.59
12836.0,,,,,,,,,,,,,,,200.74
12842.0,,,,,,,,,,,,,,,6.35
12872.0,,,,,,,,,,,,,,,92.49
12913.0,,,,,,,,,,,,,,,15.190000000000001
12921.0,,,,,,,,,,,,,,,92.42
12931.0,,,,,,,,,,,,,,,2.9
12934.0,,,,,,,,,,,,,,,83.34
12937.0,,,,,,,,,,,,,,,36.730000000000004
12948.0,,,,,,,,,,,,,,,10.23
12949.0,,,,,,,,,,,,,,,198.22
12980.0,,,,,,,,,,,,,,,44.25
13001.0,,,,,,,,,,,,,,,229.71
13037.0,,,,,,,,,,,,,,,52.68
13070.0,,,,,,,,,,,,,,,3.9
13078.0,,,,,,,,,,,,,,,70.88
13085.0,,,,,,,,,,,,,,,89.05
13089.0,,,,,,,,,,,,,,,11.100000000000001
13097.0,,,,,,,,,,,,,,,189.03
13110.0,,,,,,,,,,,,,,,141.44
13154.0,,,,,,,,,,,,,,,60.15
13208.0,,,,,,,,,,,,,,,39.45
13269.0,,,,,,,,,,,,,,,12.18
13293.0,,,,,,,,,,,,,,,2.1
13313.0,,,,,,,,,,,,,,,58.66
13381.0,,,,,,,,,,,,,,,3.95
13394.0,,,,,,,,,,,,,,,46.97
13408.0,,,,,,,,,,,,,,,7.68
13416.0,,,,,,,,,,,,,,,23.450000000000003
13442.0,,,,,,,,,,,,,,,119.9
13457.0,,,,,,,,,,,,,,,11.5
13468.0,,,,,,,,,,,,,,,62.29
13485.0,,,,,,,,,,,,,,,20.6
13526.0,,,,,,,,,,,,,,,55.2
13531.0,,,,,,,,,,,,,,,55.85
13545.0,,,,,,,,,,,,,,,9.84
13564.0,,,,,,,,,,,,,,,55.64
13585.0,,,,,,,,,,,,,,,12.75
13590.0,,,,,,,,,,,,,,,64.57000000000001
13599.0,,,,,,,,,,,,,,,38.16
13611.0,,,,,,,,,,,,,,,44.59
13623.0,,,,,,,,,,,,,,,231.69
13635.0,,,,,,,,,,,,,,,46.94
13648.0,,,,,,,,,,,,,,,32.34
13654.0,,,,,,,,,,,,,,,15.26
13711.0,,,,,,,,,,,,,,,23.45
13740.0,,,,,,,,,,,,,,,90.72
13748.0,,,,,,,,,,,,,,,14.55
13753.0,,,,,,,,,,,,,,,33.67
13758.0,,,,,,,,,,,,,,,84.2
13767.0,,,,,,,,,,,,,,,96.05
13768.0,,,,,,,,,,,,,,,7.95
13777.0,,,,,,,,,,,,,,,63.94
13786.0,,,,,,,,,,,,,,,60.58
13800.0,,,,,,,,,,,,,,,46.47
13819.0,,,,,,,,,,,,,,,69.17
13895.0,,,,,,,,,,,,,,,199.66
13916.0,,,,,,,,,,,,,,,2.55
13931.0,,,,,,,,,,,,,,,167.45
13979.0,,,,,,,,,,,,,,,54.22
13993.0,,,,,,,,,,,,,,,106.0
14000.0,,,,,,,,,,,,,,,8.0
14030.0,,,,,,,,,,,,,,,18.15
14031.0,,,,,,,,,,,,,,,231.96
14040.0,,,,,,,,,,,,,,,218.32
14051.0,,,,,,,,,,,,,,,38.39
14057.0,,,,,,,,,,,,,,,50.19
14061.0,,,,,,,,,,,,,,,82.28999999999999
14080.0,,,,,,,,,,,,,,,123.94
14106.0,,,,,,,,,,,,,,,8.95
14108.0,,,,,,,,,,,,,,,26.1
14110.0,,,,,,,,,,,,,,,16.59
14122.0,,,,,,,,,,,,,,,14.95
14135.0,,,,,,,,,,,,,,,9.38
14156.0,,,,,461.72,,,,,,,,,,
14159.0,,,,,,,,,,,,,,,191.26
14204.0,,,,,,,,,,,,,,,182.36
14258.0,,,,,,,,,,,,,,,66.1
14277.0,,,,,,52.25,,,,,,,,,
14286.0,,,,,,,,,,,,,,,102.6
14292.0,,,,,,,,,,,,,,,8.95
14299.0,,,,,,,,,,,,,,,65.64
14302.0,,,,,,,,,,,,,,,11.4
14341.0,,,,,,,,,,,,,,,34.82
14347.0,,,,,,,,,,,,,,,16.4
14396.0,,,,,,,,,,,,,,,123.06
14425.0,,,,,,,,,,,,,,,49.1
14440.0,,,,,,,,,,,,,,,42.68
14467.0,,,,,,,,,,,,,,,24.49
14478.0,,,,,,,,,,,,,,,54.15
14483.0,,,,,,,,,,,,,,,5.0
14527.0,,,,,,,,,,,,,,,387.49
14543.0,,,,,,,,,,,,,,,58.65
14549.0,,,,,,,,,,,,,,,143.34
14558.0,,,,,,,,,,,,,,,7.95
14560.0,,,,,,,,,,,,,,,47.3
14564.0,,,145.78,,,,,,,,,,,,
14606.0,,,,,,,,,,,,,,,110.39
